NACA4412
   1.00000	   0.00130
   0.99623	   0.00235
   0.99002	   0.00405
   0.98313	   0.00593
   0.97559	   0.00796
   0.96748	   0.01012
   0.95889	   0.01237
   0.94995	   0.01470
   0.94075	   0.01705
   0.93138	   0.01941
   0.92188	   0.02177
   0.91230	   0.02411
   0.90267	   0.02643
   0.89300	   0.02872
   0.88330	   0.03098
   0.87359	   0.03321
   0.86386	   0.03540
   0.85412	   0.03756
   0.84437	   0.03967
   0.83461	   0.04176
   0.82484	   0.04381
   0.81506	   0.04582
   0.80527	   0.04780
   0.79547	   0.04975
   0.78565	   0.05165
   0.77582	   0.05353
   0.76599	   0.05537
   0.75614	   0.05718
   0.74628	   0.05895
   0.73641	   0.06069
   0.72653	   0.06241
   0.71664	   0.06409
   0.70674	   0.06574
   0.69684	   0.06735
   0.68694	   0.06894
   0.67704	   0.07049
   0.66714	   0.07200
   0.65725	   0.07348
   0.64735	   0.07493
   0.63746	   0.07634
   0.62758	   0.07771
   0.61771	   0.07904
   0.60783	   0.08033
   0.59795	   0.08158
   0.58808	   0.08279
   0.57820	   0.08396
   0.56832	   0.08509
   0.55843	   0.08618
   0.54854	   0.08723
   0.53864	   0.08825
   0.52874	   0.08922
   0.51884	   0.09016
   0.50894	   0.09105
   0.49904	   0.09190
   0.48915	   0.09272
   0.47928	   0.09349
   0.46943	   0.09422
   0.45961	   0.09490
   0.44980	   0.09553
   0.44002	   0.09611
   0.43025	   0.09663
   0.42050	   0.09711
   0.41079	   0.09752
   0.40109	   0.09788
   0.39143	   0.09817
   0.38179	   0.09840
   0.37217	   0.09857
   0.36259	   0.09867
   0.35303	   0.09870
   0.34350	   0.09866
   0.33400	   0.09855
   0.32452	   0.09836
   0.31507	   0.09810
   0.30566	   0.09776
   0.29626	   0.09734
   0.28690	   0.09684
   0.27756	   0.09625
   0.26825	   0.09558
   0.25896	   0.09483
   0.24970	   0.09399
   0.24047	   0.09307
   0.23126	   0.09205
   0.22209	   0.09095
   0.21295	   0.08976
   0.20385	   0.08849
   0.19480	   0.08713
   0.18581	   0.08568
   0.17688	   0.08414
