airfoil_opt_nn_SA_optimized
1.00000000 0.00155748
0.99993832 0.00157053
0.99975328 0.00160970
0.99944494 0.00167508
0.99901336 0.00176680
0.99845867 0.00188507
0.99778098 0.00203014
0.99698048 0.00220229
0.99605735 0.00240187
0.99501183 0.00262927
0.99384417 0.00288492
0.99255466 0.00316927
0.99114363 0.00348282
0.98961141 0.00382607
0.98795838 0.00419955
0.98618496 0.00460383
0.98429158 0.00503943
0.98227871 0.00550693
0.98014684 0.00600685
0.97789651 0.00653975
0.97552826 0.00710613
0.97304268 0.00770649
0.97044038 0.00834129
0.96772202 0.00901096
0.96488824 0.00971587
0.96193977 0.01045636
0.95887731 0.01123272
0.95570164 0.01204517
0.95241353 0.01289387
0.94901379 0.01377892
0.94550326 0.01470035
0.94188282 0.01565810
0.93815334 0.01665206
0.93431576 0.01768203
0.93037101 0.01874772
0.92632008 0.01984877
0.92216396 0.02098475
0.91790368 0.02215512
0.91354029 0.02335927
0.90907486 0.02459653
0.90450850 0.02586612
0.89984233 0.02716719
0.89507751 0.02849883
0.89021520 0.02986004
0.88525662 0.03124975
0.88020298 0.03266681
0.87505553 0.03411004
0.86981555 0.03557816
0.86448431 0.03706986
0.85906315 0.03858375
0.85355339 0.04011842
0.84795640 0.04167238
0.84227355 0.04324412
0.83650626 0.04483208
0.83065593 0.04643468
0.82472402 0.04805029
0.81871199 0.04967726
0.81262133 0.05131392
0.80645353 0.05295858
0.80021011 0.05460953
0.79389263 0.05626503
0.78750263 0.05792336
0.78104169 0.05958277
0.77451141 0.06124150
0.76791340 0.06289779
0.76124928 0.06454990
0.75452071 0.06619604
0.74772933 0.06783446
0.74087684 0.06946340
0.73396491 0.07108110
0.72699525 0.07268579
0.71996958 0.07427573
0.71288965 0.07584917
0.70575718 0.07740435
0.69857395 0.07893954
0.69134172 0.08045300
0.68406228 0.08194299
0.67673742 0.08340779
0.66936896 0.08484568
0.66195871 0.08625495
0.65450850 0.08763388
0.64702016 0.08898078
0.63949555 0.09029395
0.63193652 0.09157172
0.62434494 0.09281242
0.61672268 0.09401440
0.60907162 0.09517601
0.60139365 0.09629564
0.59369066 0.09737168
0.58596455 0.09840257
0.57821723 0.09938675
0.57045062 0.10032272
0.56266662 0.10120898
0.55486716 0.10204410
0.54705416 0.10282668
0.53922955 0.10355538
0.53139526 0.10422890
0.52355323 0.10484600
0.51570538 0.10540553
0.50785366 0.10590639
