sample_1495
1.00000000 0.00000001
0.99993832 0.00000614
0.99975328 0.00002453
0.99944494 0.00005517
0.99901336 0.00009809
0.99845867 0.00015328
0.99778098 0.00022076
0.99698048 0.00030056
0.99605735 0.00039269
0.99501183 0.00049717
0.99384417 0.00061404
0.99255466 0.00074332
0.99114363 0.00088505
0.98961141 0.00103926
0.98795838 0.00120601
0.98618496 0.00138534
0.98429158 0.00157731
0.98227871 0.00178196
0.98014684 0.00199937
0.97789651 0.00222960
0.97552826 0.00247272
0.97304268 0.00272883
0.97044038 0.00299799
0.96772202 0.00328030
0.96488824 0.00357586
0.96193977 0.00388477
0.95887731 0.00420715
0.95570164 0.00454310
0.95241353 0.00489276
0.94901379 0.00525625
0.94550326 0.00563370
0.94188282 0.00602527
0.93815334 0.00643110
0.93431576 0.00685134
0.93037101 0.00728615
0.92632008 0.00773571
0.92216396 0.00820017
0.91790368 0.00867973
0.91354029 0.00917455
0.90907486 0.00968482
0.90450850 0.01021073
0.89984233 0.01075247
0.89507751 0.01131021
0.89021520 0.01188416
0.88525662 0.01247450
0.88020298 0.01308142
0.87505553 0.01370509
0.86981555 0.01434569
0.86448431 0.01500339
0.85906315 0.01567837
0.85355339 0.01637076
0.84795640 0.01708071
0.84227355 0.01780834
0.83650626 0.01855378
0.83065593 0.01931711
0.82472402 0.02009841
0.81871199 0.02089773
0.81262133 0.02171511
0.80645353 0.02255055
0.80021011 0.02340403
0.79389263 0.02427549
0.78750263 0.02516485
0.78104169 0.02607198
0.77451141 0.02699672
0.76791340 0.02793888
0.76124928 0.02889822
0.75452071 0.02987444
0.74772933 0.03086722
0.74087684 0.03187618
0.73396491 0.03290089
0.72699525 0.03394086
0.71996958 0.03499556
0.71288965 0.03606439
0.70575718 0.03714671
0.69857395 0.03824180
0.69134172 0.03934891
0.68406228 0.04046721
0.67673742 0.04159580
0.66936896 0.04273374
0.66195871 0.04388002
0.65450850 0.04503356
0.64702016 0.04619324
0.63949555 0.04735785
0.63193652 0.04852615
0.62434494 0.04969682
0.61672268 0.05086850
0.60907162 0.05203976
0.60139365 0.05320911
0.59369066 0.05437504
0.58596455 0.05553597
0.57821723 0.05669027
0.57045062 0.05783627
0.56266662 0.05897228
0.55486716 0.06009654
0.54705416 0.06120730
0.53922955 0.06230275
0.53139526 0.06338107
0.52355323 0.06444043
0.51570538 0.06547897
0.50785366 0.06649483
0.50000000 0.06748615
0.49214634 0.06845108
0.48429462 0.06938776
0.47644677 0.07029436
0.46860474 0.07116907
0.46077045 0.07201009
0.45294584 0.07281566
0.44513284 0.07358408
0.43733338 0.07431366
0.42954938 0.07500278
0.42178277 0.07564986
0.41403545 0.07625341
0.40630934 0.07681196
0.39860635 0.07732417
0.39092838 0.07778872
0.38327732 0.07820442
0.37565506 0.07857013
0.36806348 0.07888484
0.36050445 0.07914759
0.35297984 0.07935756
0.34549150 0.07951401
0.33804129 0.07961633
0.33063104 0.07966399
0.32326258 0.07965659
0.31593772 0.07959386
0.30865828 0.07947561
0.30142605 0.07930179
0.29424282 0.07907248
0.28711035 0.07878785
0.28003042 0.07844822
0.27300475 0.07805400
0.26603509 0.07760575
0.25912316 0.07710411
0.25227067 0.07654986
0.24547929 0.07594389
0.23875072 0.07528719
0.23208660 0.07458087
0.22548859 0.07382614
0.21895831 0.07302430
0.21249737 0.07217676
0.20610737 0.07128500
0.19978989 0.07035061
0.19354647 0.06937524
0.18737867 0.06836062
0.18128801 0.06730855
0.17527598 0.06622091
0.16934407 0.06509960
0.16349374 0.06394659
0.15772645 0.06276389
0.15204360 0.06155355
0.14644661 0.06031764
0.14093685 0.05905825
0.13551569 0.05777748
0.13018445 0.05647745
0.12494447 0.05516026
0.11979702 0.05382802
0.11474338 0.05248280
0.10978480 0.05112668
0.10492249 0.04976167
0.10015767 0.04838977
0.09549150 0.04701293
0.09092514 0.04563304
0.08645971 0.04425194
0.08209632 0.04287141
0.07783604 0.04149315
0.07367992 0.04011880
0.06962899 0.03874990
0.06568424 0.03738793
0.06184666 0.03603426
0.05811718 0.03469017
0.05449674 0.03335685
0.05098621 0.03203540
0.04758647 0.03072679
0.04429836 0.02943191
0.04112269 0.02815152
0.03806023 0.02688630
0.03511176 0.02563679
0.03227798 0.02440345
0.02955962 0.02318660
0.02695732 0.02198647
0.02447174 0.02080318
0.02210349 0.01963673
0.01985316 0.01848703
0.01772129 0.01735387
0.01570842 0.01623696
0.01381504 0.01513589
0.01204162 0.01405018
0.01038859 0.01297923
0.00885637 0.01192237
0.00744534 0.01087886
0.00615583 0.00984786
0.00498817 0.00882847
0.00394265 0.00781973
