model,target,target_transform,requested_n_pool,n_pool,n_train,n_val,n_test,seed,r2,rmse,mae,mape_percent,nn_hidden_layer_sizes,nn_activation,nn_alpha,nn_learning_rate_init,nn_max_epochs,nn_patience,status,error
kriging,t_max,identity,400,400,340,60,221,42,0.9994825633917008,0.00022893544117678859,0.00014396617831578663,0.12131271089267066,,,,,,,ok,
svr,t_max,identity,800,800,680,120,221,42,0.9747892569783111,0.001598001848799734,0.0010921864594992182,0.9098072000015077,,,,,,,ok,
nn,t_max,identity,800,800,680,120,221,42,0.9958391795021522,0.0006491931740514844,0.0005298616232645261,0.43660900117095947,"(256, 128)",relu,0.0001,0.001,700,70,ok,
kriging,t_max,identity,600,600,510,90,221,42,0.999731473399538,0.00016492181722141465,9.602646011359403e-05,0.08193784373477565,,,,,,,ok,
svr,t_max,identity,all,1247,1059,188,221,42,0.9865102423596488,0.001168924680088977,0.0007731610323267085,0.6420531601215769,,,,,,,ok,
nn,t_max,identity,all,1247,1059,188,221,42,0.9988711897293374,0.0003381387405876489,0.00024962166078253795,0.20963861450131366,"(256, 128)",relu,0.0001,0.001,700,70,ok,
kriging,t_max,identity,800,800,680,120,221,42,0.9998633022824517,0.00011766981922069593,7.25656799200088e-05,0.06145016670592679,,,,,,,ok,
kriging,cl,identity,all,1247,1059,188,221,42,0.9992214824397145,0.0014187617372310463,0.0010005752569208293,0.14127161166378113,,,,,,,ok,
kriging,cd,identity,all,1247,1059,188,221,42,0.9593596683384882,0.0001203443636417049,8.510854354015108e-05,1.5384308177144934,,,,,,,ok,
kriging,t_max,identity,all,1247,1059,188,221,42,0.9999235715882727,8.798565509412214e-05,5.2722259077838136e-05,0.044367777093289845,,,,,,,ok,
