name,is_baseline,status,alpha,cl,cd,cm,ld,t_max,x_tmax,polar_file,dat_file,dz_u,dz_l,Au_0,Au_1,Au_2,Au_3,Au_4,Au_5,Al_0,Al_1,Al_2,Al_3,Al_4,Al_5
sample_010,False,ok,2.0,0.7476,0.00633,-0.0983,118.10426540284361,0.11851939219287426,0.25851703406813625,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_010_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_010.dat,0.0015574793,-3.86697e-05,0.2518193161166133,0.2664967377922995,0.2985160293882144,0.182121695175051,0.3494810304259069,0.239936904304025,-0.1304566769745214,-0.047500416571288,0.0233016016407476,-0.0703667934561824,0.0093400586032194,-0.0369399300995275
sample_011,False,ok,2.0,0.7423,0.00577,-0.0927,128.6481802426343,0.14346059285815016,0.3006012024048096,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_011_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_011.dat,0.0015574793,-3.86697e-05,0.2698037148426942,0.3005786432945319,0.3599082114921679,0.1782031966918119,0.3633706067715986,0.2766042907956655,-0.1390499446384021,-0.048825368763035,-0.0757882882572026,-0.0622953691962554,-0.0331906113906065,-0.0615790737435926
sample_012,False,ok,2.0,0.7014,0.00573,-0.1107,122.40837696335079,0.13233116013633195,0.30861723446893785,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_012_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_012.dat,0.0015574793,-3.86697e-05,0.1971773113678926,0.249644901283607,0.3031843173240716,0.2303239236645107,0.3581778048681857,0.2857919703687983,-0.1928225270530283,-0.0815800132666599,-0.0423681703886726,-0.0807469679395107,-0.0033571049594311,-0.0862484464312059
sample_013,False,ok,2.0,0.6358,0.00609,-0.1016,104.40065681444993,0.1171636604368787,0.2725450901803607,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_013_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_013.dat,0.0015574793,-3.86697e-05,0.1892999675852417,0.1758984921091987,0.2561467940202303,0.1887674417251191,0.2581228410067736,0.2405052302864103,-0.1747129686334301,-0.1149305106002261,-0.0746648149210465,-0.0141057897991067,-0.0175852365642317,0.0009295091919365
sample_014,False,ok,2.0,0.6932,0.00624,-0.0972,111.08974358974359,0.10695004713313508,0.23847695390781562,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_014_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_014.dat,0.0015574793,-3.86697e-05,0.2117632964054006,0.2323711467049933,0.2639991904667618,0.1632659505507004,0.3212448757846838,0.2293343823067547,-0.1589746418792108,-0.0441360857548685,0.036059252785986,-0.0812565865979347,-0.0094144084444048,-0.0155489451275789
sample_015,False,ok,2.0,0.7656,0.00568,-0.0967,134.78873239436618,0.11735743419938577,0.2725450901803607,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_015_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_015.dat,0.0015574793,-3.86697e-05,0.251713517962622,0.291972378719094,0.2860503171206945,0.1476879283821332,0.2993053630254841,0.3096726462239291,-0.0775022893441904,-0.0404100689203473,-0.0110770350785335,-0.0780171125488848,0.0862602279702579,-0.0533304426950196
sample_016,False,ok,2.0,0.6898,0.00683,-0.1039,100.99560761346999,0.12536409116308295,0.2605210420841683,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_016_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_016.dat,0.0015574793,-3.86697e-05,0.2441238013174572,0.2008908646245595,0.2769305622754331,0.2272651861488413,0.3107006389225504,0.2250230926905254,-0.1883670736698357,-0.105327697111232,-0.0130107150996502,-0.08792051991138,-0.0325636838063796,0.0198602192168328
sample_017,False,ok,2.0,0.7647,0.00594,-0.1221,128.73737373737376,0.13550332747180388,0.3226452905811623,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_017_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_017.dat,0.0015574793,-3.86697e-05,0.1825703643125243,0.2822762669017492,0.3615489120258925,0.237330363413293,0.3640156001580682,0.2881846412897941,-0.1945050476710285,-0.0680797380516513,0.0203532982473524,-0.1126819982902586,0.0230274424305291,-0.0752913677835544
sample_018,False,ok,2.0,0.709,0.00599,-0.0882,118.36393989983306,0.12703819315011863,0.2945891783567134,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_018_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_018.dat,0.0015574793,-3.86697e-05,0.2381331288550652,0.2760017264774001,0.3096374387411251,0.2114605029149535,0.2713236545162655,0.2697565547392596,-0.1336215260777557,-0.0659365401061324,0.0145100261101894,-0.1191674641256024,-0.0413844952845667,-0.0310562752803393
sample_019,False,ok,2.0,0.6937,0.00546,-0.1177,127.05128205128206,0.11445117735256854,0.3386773547094188,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_019_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_019.dat,0.0015574793,-3.86697e-05,0.1557029783281983,0.1915975713370169,0.2920618079122461,0.2162514432232018,0.3127347977800456,0.2471380927160695,-0.1905588048984395,-0.063368997348944,-0.0205108186729964,-0.087717923397207,0.0121486855107465,-0.0178670138303349
