iter,episode,step,p1,p2,fitness,best_fitness,cl,cd,t_max,best_cd,reward,feasible
1,1,1,0.2223477065563202,-0.13064460456371307,0.005497300261744293,0.005497300261744293,0.7282643642215805,0.005497300261744293,0.12102669858675276,0.005497300261744293,10.0,1
2,1,2,0.2244797945022583,-0.1257891058921814,0.0054724485366567785,0.0054724485366567785,0.7342520444233556,0.0054724485366567785,0.120507379278913,0.0054724485366567785,1.4562143545509545,1
3,1,3,0.22860543429851532,-0.12216173112392426,11.555128388675346,0.0054724485366567785,0.7264918681068329,0.005451930657504251,0.11892530578963047,0.0054724485366567785,-10.0,0
4,1,4,0.22312086820602417,-0.11919379979372025,59.114994191699815,0.0054724485366567785,0.7262736032977062,0.00544347780243163,0.11756875441976962,0.0054724485366567785,-10.0,0
5,1,5,0.2258254587650299,-0.11615324765443802,266.6181076935388,0.0054724485366567785,0.7171060751599104,0.0054903493637277635,0.11547876116242443,0.0054724485366567785,-10.0,0
6,1,6,0.22832119464874268,-0.1152758002281189,309.7197372594147,0.0054724485366567785,0.7147906496665655,0.0054283095292725495,0.1171997178239896,0.0054724485366567785,-10.0,0
7,1,7,0.23355862498283386,-0.11443058401346207,1368.3952375722413,0.0054724485366567785,0.708975084911608,0.005567848274328872,0.11510611132770103,0.0054724485366567785,-10.0,0
8,1,8,0.2264852225780487,-0.11958331614732742,2548.168845130766,0.0054724485366567785,0.704691477291866,0.0055369174246994845,0.114294539327768,0.0054724485366567785,-10.0,0
9,1,9,0.22443728148937225,-0.12305312603712082,2439.7171110727686,0.0054724485366567785,0.7063452771248176,0.005713158463894682,0.11173661925761932,0.0054724485366567785,4.156065459132944,0
10,1,10,0.21845579147338867,-0.12784335017204285,1986.4111950794043,0.0054724485366567785,0.7089521290607381,0.0057664009324712145,0.11076618240765666,0.0054724485366567785,10.0,0
11,1,11,0.2197021245956421,-0.1303648054599762,3207.1984247558657,0.0054724485366567785,0.7036701320717874,0.005781063286829551,0.11181717822759402,0.0054724485366567785,-10.0,0
12,1,12,0.2209034562110901,-0.1261746734380722,2566.4337108956515,0.0054724485366567785,0.7057234285579486,0.005749816456423186,0.11199477913349284,0.0054724485366567785,10.0,0
13,1,13,0.2205105721950531,-0.12133903056383133,4702.189194269592,0.0054724485366567785,0.6999895509540665,0.005634168977790299,0.11074534472673861,0.0054724485366567785,-10.0,0
14,1,14,0.2172684520483017,-0.12533725798130035,2014.9827835245687,0.0054724485366567785,0.7075252513451608,0.005612655116434879,0.11253687987438211,0.0054724485366567785,10.0,0
15,1,15,0.2145584523677826,-0.13030776381492615,592.4762115170156,0.0054724485366567785,0.7150002448470549,0.005685672452236466,0.11382834664636683,0.0054724485366567785,10.0,0
16,1,16,0.2203499972820282,-0.13218015432357788,235.72491256891294,0.0054724485366567785,0.7174074793390247,0.005790016642281703,0.11566816835433053,0.0054724485366567785,10.0,0
17,1,17,0.21475927531719208,-0.13667899370193481,454.99017103884404,0.0054724485366567785,0.7148874668233737,0.005889739239926287,0.1151739810206386,0.0054724485366567785,-10.0,0
18,1,18,0.20755581557750702,-0.13380002975463867,730.4467501759458,0.0054724485366567785,0.7141689195363714,0.0057944987782435325,0.1134009500255485,0.0054724485366567785,-10.0,0
19,1,19,0.20208808779716492,-0.1313863843679428,1060.3176178438841,0.0054724485366567785,0.7133368081401849,0.005684935006848803,0.11182665178656673,0.0054724485366567785,-10.0,0
20,1,20,0.20407359302043915,-0.124968983232975,2615.500355366136,0.0054724485366567785,0.7073931544690746,0.005711361554440596,0.10939140034761496,0.0054724485366567785,-10.0,0
21,1,21,0.20895572006702423,-0.1234409362077713,1169.7443694580113,0.0054724485366567785,0.7149126577426873,0.005755644819317718,0.11025306797273471,0.0054724485366567785,10.0,0
22,1,22,0.20827247202396393,-0.12986452877521515,2686.6239347422343,0.0054724485366567785,0.7065395433870186,0.005845493989939472,0.11009614812382297,0.0054724485366567785,-10.0,0
23,1,23,0.21451126039028168,-0.1364535689353943,7857.4211786109545,0.0054724485366567785,0.6930446339295617,0.005992196542499994,0.11102480911030545,0.0054724485366567785,-10.0,0
24,1,24,0.21181388199329376,-0.14035500586032867,10999.156464251748,0.0054724485366567785,0.6873107582356321,0.005918836239677069,0.1124290079366207,0.0054724485366567785,-10.0,0
25,1,25,0.21216590702533722,-0.13526321947574615,7903.695290302751,0.0054724485366567785,0.6934546884694446,0.0059329327353124465,0.1096659968692086,0.0054724485366567785,10.0,0
26,1,26,0.21630063652992249,-0.13696619868278503,9742.63149866618,0.0054724485366567785,0.6901104263809719,0.006011995790681678,0.10977123680814939,0.0054724485366567785,-10.0,0
27,1,27,0.21233732998371124,-0.13997648656368256,10664.370681300603,0.0054724485366567785,0.6894415601428417,0.006077685911790669,0.10747382876759076,0.0054724485366567785,-9.560885211152794,0
28,1,28,0.21750299632549286,-0.13649536669254303,8024.728322537424,0.0054724485366567785,0.693680029221925,0.006068655630470324,0.1085707681687738,0.0054724485366567785,10.0,0
29,1,29,0.2115023136138916,-0.1320362687110901,5995.939157986688,0.0054724485366567785,0.6988954543405773,0.006004890425381905,0.1069265496388097,0.0054724485366567785,10.0,0
30,1,30,0.21283723413944244,-0.13254037499427795,6010.202391890381,0.0054724485366567785,0.6998162115767115,0.006099887589478299,0.10552169399332803,0.0054724485366567785,-0.3378815649704213,0
31,1,31,0.21922814846038818,-0.12847493588924408,8874.117171653737,0.0054724485366567785,0.6946920877032947,0.006251083966778969,0.10365965125596721,0.0054724485366567785,-10.0,0
