generation,p1,p2,fitness,best_fitness,cl,cd,t_max,feasible
1,0.19865936435470694,-0.09533774827514983,0.004225623599813726,0.004225623599813726,0.7576413126020172,0.004225623599813726,0.12140175401182637,1
2,0.19865936435470694,-0.09533774827514983,0.004225623599813726,0.004225623599813726,0.7576413126020172,0.004225623599813726,0.12140175401182637,1
3,0.21136355515495828,-0.09323754490507838,0.004178099330683029,0.004178099330683029,0.7493777939720123,0.004178099330683029,0.12420162856290984,1
4,0.20659967881153668,-0.09323754490507838,0.004158033850485254,0.004158033850485254,0.7484581299639811,0.004158033850485254,0.12406669512316176,1
5,0.20014743803691076,-0.09317036132653819,0.004102466763205549,0.004102466763205549,0.740029404659726,0.004102466763205549,0.12410450250699201,1
6,0.1999384301895883,-0.07667840835708081,0.0039435709843528375,0.0039435709843528375,0.7679562865157603,0.0039435709843528375,0.12152235270081614,1
7,0.1961446642497012,-0.07317006249941581,0.003860000535102953,0.003860000535102953,0.7510291290520905,0.003860000535102953,0.12054595504364338,1
8,0.1961446642497012,-0.07317006249941581,0.003860000535102953,0.003860000535102953,0.7510291290520905,0.003860000535102953,0.12054595504364338,1
9,0.1976654043883847,-0.07276468999999999,0.0038556012234366175,0.0038556012234366175,0.7564849467389174,0.0038556012234366175,0.12581655830188596,1
10,0.20073274812319458,-0.0733393620520177,0.003818783316690743,0.003818783316690743,0.7334382241041453,0.003818783316690743,0.12422145803549627,1
11,0.19630061015688582,-0.075434538098096,0.003807672115693044,0.003807672115693044,0.7369771150342845,0.003807672115693044,0.12370266682815387,1
12,0.19622253348990043,-0.07276468999999999,0.003764474267834156,0.003764474267834156,0.7374050433798376,0.003764474267834156,0.12252795698867935,1
13,0.1948568092828124,-0.07276468999999999,0.003752353039060117,0.003752353039060117,0.7290171735324795,0.003752353039060117,0.12363402551595566,1
14,0.17583266243793627,-0.07276468999999999,0.003687700618762038,0.003687700618762038,0.7215931439533136,0.003687700618762038,0.12206490249607102,1
15,0.18333905392119093,-0.07276468999999999,0.003667438864849626,0.003667438864849626,0.7224972269068314,0.003667438864849626,0.1219714995085857,1
16,0.19079435293946712,-0.0737850662416909,0.0036601250588370205,0.0036601250588370205,0.7244354445669602,0.0036601250588370205,0.12029987016224021,1
17,0.18646255728989172,-0.07282741927290565,0.0036190790350263445,0.0036190790350263445,0.720339163417189,0.0036190790350263445,0.1221313739287189,1
18,0.18646255728989172,-0.07282741927290565,0.0036190790350263445,0.0036190790350263445,0.720339163417189,0.0036190790350263445,0.1221313739287189,1
19,0.18643763626991106,-0.07330657018997103,0.0036069162173917525,0.0036069162173917525,0.724650624339616,0.0036069162173917525,0.12144988311107133,1
