iter,p1,p2,fitness,best_fitness,cl,cd,t_max,feasible
1,0.14703767,-0.06355102812346367,0.0037531736542154065,0.0037531736542154065,0.7259780268097308,0.0037531736542154065,0.12106280645040628,1
2,0.14703767,-0.06326469,0.0036167208854651807,0.0036167208854651807,0.7389364829558205,0.0036167208854651807,0.12838270400942933,1
3,0.14952378964172924,-0.06326469,0.0035778988789858224,0.0035778988789858224,0.725114398843584,0.0035778988789858224,0.12270103274508898,1
4,0.14703767,-0.06326469,0.0035224925517108067,0.0035224925517108067,0.7453165542892664,0.0035224925517108067,0.1249693819860348,1
5,0.14703767,-0.06326469,0.003504836828262659,0.003504836828262659,0.7272349332954808,0.003504836828262659,0.12380454288939811,1
6,0.14703767,-0.06326469,0.003481507680854521,0.003481507680854521,0.7206518954757415,0.003481507680854521,0.12238493646338175,1
7,0.14703767,-0.06326469,0.003466807221229369,0.003466807221229369,0.7196707401880977,0.0034667433477579257,0.11999747267984925,0
8,0.14703767,-0.06326469,0.003466807221229369,0.003466807221229369,0.7196707401880977,0.0034667433477579257,0.11999747267984925,0
9,0.14703767,-0.06326469,0.003466807221229369,0.003466807221229369,0.7196707401880977,0.0034667433477579257,0.11999747267984925,0
10,0.14703767,-0.06326469,0.003466807221229369,0.003466807221229369,0.7196707401880977,0.0034667433477579257,0.11999747267984925,0
11,0.14703767,-0.06326469,0.003466807221229369,0.003466807221229369,0.7196707401880977,0.0034667433477579257,0.11999747267984925,0
12,0.14703767,-0.06326469,0.003466807221229369,0.003466807221229369,0.7196707401880977,0.0034667433477579257,0.11999747267984925,0
13,0.14703767,-0.06326469,0.003466807221229369,0.003466807221229369,0.7196707401880977,0.0034667433477579257,0.11999747267984925,0
14,0.14703767,-0.06326469,0.003466807221229369,0.003466807221229369,0.7196707401880977,0.0034667433477579257,0.11999747267984925,0
15,0.14703767,-0.06326469,0.003466807221229369,0.003466807221229369,0.7196707401880977,0.0034667433477579257,0.11999747267984925,0
16,0.14703767,-0.06326469,0.003466807221229369,0.003466807221229369,0.7196707401880977,0.0034667433477579257,0.11999747267984925,0
17,0.14703767,-0.06326469,0.003466807221229369,0.003466807221229369,0.7196707401880977,0.0034667433477579257,0.11999747267984925,0
18,0.14703767,-0.06326469,0.003466458413102114,0.003466458413102114,0.7202420310199181,0.003466458413102114,0.12015410099884091,1
19,0.14703767,-0.06326469,0.003466458413102114,0.003466458413102114,0.7202420310199181,0.003466458413102114,0.12015410099884091,1
20,0.14703767,-0.06326469,0.003466458413102114,0.003466458413102114,0.7202420310199181,0.003466458413102114,0.12015410099884091,1
21,0.14703767,-0.06326469,0.003466458413102114,0.003466458413102114,0.7202420310199181,0.003466458413102114,0.12015410099884091,1
22,0.14703767,-0.06326469,0.003466458413102114,0.003466458413102114,0.7202420310199181,0.003466458413102114,0.12015410099884091,1
23,0.14703767,-0.06326469,0.003466458413102114,0.003466458413102114,0.7202420310199181,0.003466458413102114,0.12015410099884091,1
24,0.14703767,-0.06326469,0.0034653065496478724,0.0034653065496478724,0.7199156293419656,0.0034653065496478724,0.12012107086215439,1
25,0.14703767,-0.06326469,0.0034653065496478724,0.0034653065496478724,0.7199156293419656,0.0034653065496478724,0.12012107086215439,1
26,0.14703767,-0.06326469,0.0034653065496478724,0.0034653065496478724,0.7199156293419656,0.0034653065496478724,0.12012107086215439,1
27,0.14703767,-0.06326469,0.003464094949373744,0.003464094949373744,0.7200369880747983,0.003464094949373744,0.1202114885479304,1
28,0.14703767,-0.06326469,0.003464094949373744,0.003464094949373744,0.7200369880747983,0.003464094949373744,0.1202114885479304,1
29,0.14703767,-0.06326469,0.0034636464319810793,0.0034636464319810793,0.7201007892128722,0.0034636464319810793,0.12014829964524489,1
30,0.14703767,-0.06326469,0.0034636464319810793,0.0034636464319810793,0.7201007892128722,0.0034636464319810793,0.12014829964524489,1
31,0.14703767,-0.06326469,0.0034636464319810793,0.0034636464319810793,0.7201007892128722,0.0034636464319810793,0.12014829964524489,1
32,0.14703767,-0.06326469,0.0034614149480181084,0.0034614149480181084,0.7197643926083491,0.0034614149480181084,0.12007418496793704,1
33,0.14703767,-0.06326469,0.0034614149480181084,0.0034614149480181084,0.7197643926083491,0.0034614149480181084,0.12007418496793704,1
34,0.14703767,-0.06326469,0.0034614149480181084,0.0034614149480181084,0.7197643926083491,0.0034614149480181084,0.12007418496793704,1
35,0.14703767,-0.06326469,0.0034614149480181084,0.0034614149480181084,0.7197643926083491,0.0034614149480181084,0.12007418496793704,1
36,0.14703767,-0.06326469,0.0034614149480181084,0.0034614149480181084,0.7197643926083491,0.0034614149480181084,0.12007418496793704,1
37,0.14703767,-0.06326469,0.0034614149480181084,0.0034614149480181084,0.7197643926083491,0.0034614149480181084,0.12007418496793704,1
38,0.14703767,-0.06326469,0.003460805837339289,0.003460805837339289,0.7197428982207548,0.0034608028229894997,0.11999945096905465,0
39,0.14703767,-0.06326469,0.003460805837339289,0.003460805837339289,0.7197428982207548,0.0034608028229894997,0.11999945096905465,0
40,0.14703767,-0.06326469,0.003460805837339289,0.003460805837339289,0.7197428982207548,0.0034608028229894997,0.11999945096905465,0
41,0.14703767,-0.06326469,0.003460805837339289,0.003460805837339289,0.7197428982207548,0.0034608028229894997,0.11999945096905465,0
42,0.14703767,-0.06326469,0.003460805837339289,0.003460805837339289,0.7197428982207548,0.0034608028229894997,0.11999945096905465,0
43,0.14703767,-0.06326469,0.003460805837339289,0.003460805837339289,0.7197428982207548,0.0034608028229894997,0.11999945096905465,0
44,0.14703767,-0.06326469,0.003460805837339289,0.003460805837339289,0.7197428982207548,0.0034608028229894997,0.11999945096905465,0
45,0.14703767,-0.06326469,0.003460805837339289,0.003460805837339289,0.7197428982207548,0.0034608028229894997,0.11999945096905465,0
46,0.14703767,-0.06326469,0.003460805837339289,0.003460805837339289,0.7197428982207548,0.0034608028229894997,0.11999945096905465,0
47,0.14703767,-0.06326469,0.003460805837339289,0.003460805837339289,0.7197428982207548,0.0034608028229894997,0.11999945096905465,0
48,0.14703767,-0.06326469,0.003460805837339289,0.003460805837339289,0.7197428982207548,0.0034608028229894997,0.11999945096905465,0
49,0.14703767,-0.06326469,0.003460805837339289,0.003460805837339289,0.7197428982207548,0.0034608028229894997,0.11999945096905465,0
50,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
51,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
52,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
53,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
54,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
55,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
56,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
57,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
58,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
59,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
60,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
61,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
62,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
63,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
64,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
65,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
66,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
67,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
68,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
69,0.14703767,-0.06326469,0.0034606283727934744,0.0034606283727934744,0.7197195566236889,0.0034606283727934744,0.12002386547934661,1
70,0.14703767,-0.06326469,0.0034600943855257033,0.0034600943855257033,0.7196150024572288,0.0034600943855257033,0.12001183273146984,1
71,0.14703767,-0.06326469,0.0034600943855257033,0.0034600943855257033,0.7196150024572288,0.0034600943855257033,0.12001183273146984,1
72,0.14703767,-0.06326469,0.0034600943855257033,0.0034600943855257033,0.7196150024572288,0.0034600943855257033,0.12001183273146984,1
73,0.14703767,-0.06326469,0.0034600943855257033,0.0034600943855257033,0.7196150024572288,0.0034600943855257033,0.12001183273146984,1
74,0.14703767,-0.06326469,0.0034600943855257033,0.0034600943855257033,0.7196150024572288,0.0034600943855257033,0.12001183273146984,1
75,0.14703767,-0.06326469,0.0034600943855257033,0.0034600943855257033,0.7196150024572288,0.0034600943855257033,0.12001183273146984,1
76,0.14703767,-0.06326469,0.0034600943855257033,0.0034600943855257033,0.7196150024572288,0.0034600943855257033,0.12001183273146984,1
77,0.14703767,-0.06326469,0.0034600943855257033,0.0034600943855257033,0.7196150024572288,0.0034600943855257033,0.12001183273146984,1
78,0.14703767,-0.06326469,0.0034600943855257033,0.0034600943855257033,0.7196150024572288,0.0034600943855257033,0.12001183273146984,1
79,0.14703767,-0.06326469,0.0034600943855257033,0.0034600943855257033,0.7196150024572288,0.0034600943855257033,0.12001183273146984,1
80,0.14703767,-0.06326469,0.0034600943855257033,0.0034600943855257033,0.7196150024572288,0.0034600943855257033,0.12001183273146984,1
81,0.14703767,-0.06326469,0.0034600943855257033,0.0034600943855257033,0.7196150024572288,0.0034600943855257033,0.12001183273146984,1
82,0.14703767,-0.06326469,0.0034600943855257033,0.0034600943855257033,0.7196150024572288,0.0034600943855257033,0.12001183273146984,1
83,0.14703767,-0.06326469,0.0034600896756493914,0.0034600896756493914,0.7196044994245537,0.0034600896756493914,0.12001498095973155,1
84,0.14703767,-0.06326469,0.0034600896756493914,0.0034600896756493914,0.7196044994245537,0.0034600896756493914,0.12001498095973155,1
85,0.14703767,-0.06326469,0.0034600896756493914,0.0034600896756493914,0.7196044994245537,0.0034600896756493914,0.12001498095973155,1
86,0.14703767,-0.06326469,0.0034600896756493914,0.0034600896756493914,0.7196044994245537,0.0034600896756493914,0.12001498095973155,1
87,0.14703767,-0.06326469,0.0034600896756493914,0.0034600896756493914,0.7196044994245537,0.0034600896756493914,0.12001498095973155,1
88,0.14703767,-0.06326469,0.0034600896756493914,0.0034600896756493914,0.7196044994245537,0.0034600896756493914,0.12001498095973155,1
89,0.14703767,-0.06326469,0.0034600896756493914,0.0034600896756493914,0.7196044994245537,0.0034600896756493914,0.12001498095973155,1
90,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
91,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
92,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
93,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
94,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
95,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
96,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
97,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
98,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
99,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
100,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
101,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
102,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
103,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
104,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
105,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
106,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
107,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
108,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
109,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
110,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
111,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
112,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
113,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
114,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
115,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
116,0.14703767,-0.06326469,0.003459970968222257,0.003459970968222257,0.7195997816841331,0.003459970491604079,0.12000854708095708,0
