iter,p1,p2,fitness,best_fitness,cl,cd,t_max,feasible
1,0.19563962502466184,-0.08931052647132674,0.003865903989178125,0.003865903989178125,0.7673797247962356,0.003865903989178125,0.12465130825610987,1
2,0.22202506747404965,-0.06803341330021541,0.00370697047717252,0.00370697047717252,0.7298534107998359,0.00370697047717252,0.13323357854062984,1
3,0.18719016095271895,-0.06760724155064722,0.003597545194039638,0.003597545194039638,0.7623038384841465,0.003597545194039638,0.12523731923199768,1
4,0.18719016095271895,-0.06760724155064722,0.003597545194039638,0.003597545194039638,0.7623038384841465,0.003597545194039638,0.12523731923199768,1
5,0.18719016095271895,-0.06760724155064722,0.003597545194039638,0.003597545194039638,0.7623038384841465,0.003597545194039638,0.12523731923199768,1
6,0.18697461841196003,-0.06464833346475038,0.003594394928916096,0.003594394928916096,0.7419819504238514,0.003594394928916096,0.12233669573458192,1
7,0.18389287971636356,-0.06326469,0.0035690090436072044,0.0035690090436072044,0.7586020186058899,0.0035690090436072044,0.12732238748504696,1
8,0.17615063651286034,-0.06326469,0.0034597253897999773,0.0034597253897999773,0.7258978375453526,0.0034597253897999773,0.12082168814242868,1
9,0.17615063651286034,-0.06326469,0.0034597253897999773,0.0034597253897999773,0.7258978375453526,0.0034597253897999773,0.12082168814242868,1
10,0.176884155185867,-0.06326469,0.00344456232942734,0.00344456232942734,0.7237316923294475,0.00344456232942734,0.12221128594363555,1
11,0.176884155185867,-0.06326469,0.00344456232942734,0.00344456232942734,0.7237316923294475,0.00344456232942734,0.12221128594363555,1
12,0.17591189075790215,-0.06326469,0.0034403643747370843,0.0034403643747370843,0.7287483063940939,0.0034403643747370843,0.1227162362173461,1
13,0.17302917475735505,-0.06326469,0.0034385260831792776,0.0034385260831792776,0.7243382425907651,0.0034385260831792776,0.12546832405134187,1
14,0.1755507708262894,-0.06326469,0.0034252737836006964,0.0034252737836006964,0.7250520922777588,0.0034252737836006964,0.12210638222378925,1
15,0.1755507708262894,-0.06326469,0.0034252737836006964,0.0034252737836006964,0.7250520922777588,0.0034252737836006964,0.12210638222378925,1
16,0.1755507708262894,-0.06326469,0.0034252737836006964,0.0034252737836006964,0.7250520922777588,0.0034252737836006964,0.12210638222378925,1
17,0.1755507708262894,-0.06326469,0.0034252737836006964,0.0034252737836006964,0.7250520922777588,0.0034252737836006964,0.12210638222378925,1
18,0.17047888285382412,-0.06326469,0.003410554365325116,0.003410554365325116,0.7294864216783529,0.003410554365325116,0.12200917521439113,1
19,0.17047888285382412,-0.06326469,0.003410554365325116,0.003410554365325116,0.7294864216783529,0.003410554365325116,0.12200917521439113,1
20,0.17047888285382412,-0.06326469,0.003410554365325116,0.003410554365325116,0.7294864216783529,0.003410554365325116,0.12200917521439113,1
21,0.1713294799505034,-0.06326469,0.0034098466848220504,0.0034098466848220504,0.7288749140342812,0.0034098466848220504,0.12251133265817743,1
22,0.1713294799505034,-0.06326469,0.0034098466848220504,0.0034098466848220504,0.7288749140342812,0.0034098466848220504,0.12251133265817743,1
23,0.17234424101001516,-0.06326469,0.00339925869731366,0.00339925869731366,0.7228984372592827,0.00339925869731366,0.12328803087225765,1
24,0.17234424101001516,-0.06326469,0.00339925869731366,0.00339925869731366,0.7228984372592827,0.00339925869731366,0.12328803087225765,1
25,0.17244478837636637,-0.06326469,0.003396364900749786,0.003396364900749786,0.7209422432921236,0.003396364900749786,0.12221885062687601,1
26,0.17244478837636637,-0.06326469,0.003396364900749786,0.003396364900749786,0.7209422432921236,0.003396364900749786,0.12221885062687601,1
27,0.18007797772646494,-0.06326469,0.0033939723469047773,0.0033939723469047773,0.720952422646149,0.0033939723469047773,0.12288406433828208,1
28,0.18007797772646494,-0.06326469,0.0033939723469047773,0.0033939723469047773,0.720952422646149,0.0033939723469047773,0.12288406433828208,1
29,0.18007797772646494,-0.06326469,0.0033939723469047773,0.0033939723469047773,0.720952422646149,0.0033939723469047773,0.12288406433828208,1
30,0.18007797772646494,-0.06326469,0.0033939723469047773,0.0033939723469047773,0.720952422646149,0.0033939723469047773,0.12288406433828208,1
31,0.17316642144391622,-0.06326469,0.0033927433694128308,0.0033927433694128308,0.7206949977143897,0.0033927433694128308,0.12085209808136142,1
32,0.17316642144391622,-0.06326469,0.0033927433694128308,0.0033927433694128308,0.7206949977143897,0.0033927433694128308,0.12085209808136142,1
33,0.17316642144391622,-0.06326469,0.0033927433694128308,0.0033927433694128308,0.7206949977143897,0.0033927433694128308,0.12085209808136142,1
