iter,p1,p2,fitness,best_fitness,cl,cd,t_max,feasible
1,0.20040963693574915,-0.19748777526603156,0.005978539264104351,0.005978539264104351,0.7356381253494401,0.005978539264104351,0.12498796443793046,1
2,0.19592462783916387,-0.20176458394803617,0.005956810541513644,0.005956810541513644,0.7397023566181414,0.005956810541513644,0.12730192088093303,1
3,0.19212238011178615,-0.18196910352697504,0.005856930573599348,0.005856930573599348,0.73925627967533,0.005856930573599348,0.12309723034946621,1
4,0.19763499558172612,-0.17782147861464465,0.012438849789018578,0.005856930573599348,0.7319768203955447,0.005888894144842535,0.11919068203750466,0
5,0.1999952475304765,-0.17203223213008598,0.01479622490607167,0.005856930573599348,0.724275818877096,0.005895647615546792,0.11905657129095384,0
6,0.21065021658227126,-0.18214082914754973,0.005947684273921415,0.005856930573599348,0.7247147543311638,0.005947684273921415,0.12231472174680715,1
7,0.20502675099029857,-0.18030887144839874,0.0059382861769508265,0.005856930573599348,0.7348418306691692,0.0059382861769508265,0.12006244608334635,1
8,0.20319826093861412,-0.18312692616590834,0.0059465588120129285,0.005856930573599348,0.7234209598744538,0.0059465588120129285,0.1206080554090705,1
9,0.20503330747251383,-0.18449749803997384,0.012541074557288794,0.005856930573599348,0.7343903399987837,0.006002334281402659,0.11919137522447762,0
10,0.19932028408864727,-0.18801320447567255,0.010019325781546008,0.005856930573599348,0.7415971372443199,0.005992686060942004,0.11936544190804907,0
11,0.20394502705862966,-0.19077958831838093,0.005972097310557341,0.005856930573599348,0.7461063877492573,0.005972097310557341,0.12017424647272083,1
12,0.21366271854510152,-0.18152138601674647,0.005990780726467155,0.005856930573599348,0.7637265876767572,0.005990780726467155,0.12127466639351868,1
13,0.21575085991735463,-0.18846599291711613,0.006009838534447321,0.005856930573599348,0.774045919728534,0.006009838534447321,0.12039487891394605,1
14,0.2095689171512516,-0.17984914637597388,0.12927743694657137,0.005856930573599348,0.7691313368717706,0.005993262223888654,0.11648881537479609,0
15,0.20193880810256618,-0.18588255161721126,0.013524364805679326,0.005856930573599348,0.7609970378031605,0.00601902235284698,0.11913366620446664,0
16,0.20317272219925583,-0.18333331667472974,0.06238246766087799,0.005856930573599348,0.7505765890259553,0.006012692679595092,0.1176257680193106,0
17,0.20534192217833566,-0.17385078721292863,0.15921486517987127,0.005856930573599348,0.752251457985448,0.005992039358074226,0.1160856312664518,0
18,0.2018837069000533,-0.17721330175667835,0.08132716438819093,0.005856930573599348,0.7487083090923624,0.005963066752389635,0.11725474777778432,0
19,0.1966798446490687,-0.1916424426866138,0.04425134261068299,0.005856930573599348,0.7535788086834082,0.005989659529621034,0.11804394061743867,0
20,0.20027787901180447,-0.17906358122461097,0.11273485542865411,0.005856930573599348,0.759566432084195,0.005962904303349099,0.11673240224132,0
21,0.19507134651379318,-0.18829004635527996,0.02816289817086985,0.005856930573599348,0.7595678915890399,0.005916363758874589,0.11850847278228001,0
22,0.19415640996969777,-0.18973255622682977,0.029217077544225496,0.005856930573599348,0.7728925216195881,0.005870231787528262,0.11847203253448585,0
23,0.20935427276412366,-0.19121542726062535,0.015384805803445614,0.005856930573599348,0.7703935583740187,0.005855939589810745,0.1190238408831735,0
24,0.21576392187658558,-0.1858909603241221,0.00709521348644062,0.005856930573599348,0.7735309338279857,0.005855307209763524,0.11964787697083588,0
25,0.2196619907174221,-0.17658942382314752,0.010431415332015144,0.005856930573599348,0.784788996070437,0.00583379948695331,0.11932194278670145,0
26,0.23328725390128188,-0.17109834072529534,0.005842114349502403,0.005842114349502403,0.7903675199411084,0.005842114349502403,0.12098120374871812,1
27,0.23108496977325382,-0.16711468765666684,0.0057837998425538184,0.0057837998425538184,0.800904783164009,0.0057837998425538184,0.12117397306956487,1
28,0.21657080373657733,-0.15805782779655284,0.005794323897001645,0.0057837998425538184,0.791327092048544,0.005762793111940302,0.11994384772038345,0
29,0.21816746266947656,-0.14771842959101317,0.06469799050192347,0.0057837998425538184,0.798172655094987,0.005774210733040879,0.1175725779153826,0
30,0.2173770726281163,-0.14036115171238508,0.0062201776022629204,0.0057837998425538184,0.7937593182106163,0.005735070135861294,0.11977974844690635,0
31,0.22266355912088875,-0.13825587435086992,0.0057435257993384385,0.0057435257993384385,0.795855187521346,0.0057435257993384385,0.12103169953804355,1
32,0.20519117383651417,-0.1274527119249659,0.03972024890146844,0.0057435257993384385,0.7886197115107617,0.00558349228001681,0.11815238649546363,0
33,0.19426061037002287,-0.11905021948851115,0.24536083570083417,0.0057435257993384385,0.8044545352635433,0.005555783974355674,0.11510301060112972,0
34,0.2048700572339498,-0.11273701662175731,0.1468473607833264,0.0057435257993384385,0.7991848868505642,0.005574781453709707,0.11624137552647758,0
35,0.21186358229315164,-0.11278118549193365,0.09268071615941749,0.0057435257993384385,0.7941471136596626,0.005572685068287218,0.11704859302889062,0
36,0.20401716247111595,-0.11596380522060465,0.02625285165786965,0.0057435257993384385,0.7953634718984859,0.005552693766302848,0.11856124505590539,0
37,0.20442666474266408,-0.10989790608532601,0.07032075286682071,0.0057435257993384385,0.789288090318504,0.005430441693837289,0.11745264232639027,0
38,0.1936309284244994,-0.08796088032508245,0.07795687820587854,0.0057435257993384385,0.7975360121772861,0.005328052042913866,0.11730502641640099,0
39,0.19229922942625646,-0.08640604335579839,0.3514029059978625,0.0057435257993384385,0.7938678101501909,0.005355478768556121,0.11411742040232938,0
40,0.20315148847680276,-0.07980702832963545,0.43652555367084056,0.0057435257993384385,0.7859742915212578,0.005350520560768167,0.11343360804467116,0
41,0.19724782910829428,-0.07811609208822227,0.6659427472488447,0.0057435257993384385,0.779860917748669,0.005281524284897645,0.11187189306810037,0
42,0.1853533164803045,-0.08971233195813981,0.6856477224392309,0.0057435257993384385,0.7597695482003274,0.005452611996042624,0.11175260580278117,0
43,0.1853533164803045,-0.08971233195813981,0.6856477224392309,0.0057435257993384385,0.7597695482003274,0.005452611996042624,0.11175260580278117,0
44,0.18799773082807508,-0.087306912990854,0.5722036503031251,0.0057435257993384385,0.7611164912672239,0.0054071481342944415,0.11247141114040067,0
45,0.19006237668346201,-0.10182855030399621,0.06926671292482729,0.0057435257993384385,0.7722099962057501,0.005473168930089884,0.11747426161301813,0
46,0.19239173422153166,-0.11236347730517758,0.09738894623055211,0.0057435257993384385,0.7837249202784831,0.005500709761087659,0.11696869274949792,0
47,0.19239173422153166,-0.11236347730517758,0.09738894623055211,0.0057435257993384385,0.7837249202784831,0.005500709761087659,0.11696869274949792,0
48,0.1985876764022845,-0.12503685907862055,0.03470781420431573,0.0057435257993384385,0.7827372766468367,0.005583551025680938,0.1182934167708947,0
49,0.21601365925705437,-0.1306689895736684,0.018172390251595453,0.0057435257993384385,0.7988888831841068,0.005692506148597455,0.11888286598373346,0
50,0.20896272491271198,-0.1317947958510437,0.0056728940935289966,0.0056728940935289966,0.7962358315407827,0.0056728940935289966,0.12021159112693884,1
51,0.19977175350205698,-0.13354571518265607,0.005512498262551668,0.005512498262551668,0.7860026549759718,0.005512498262551668,0.12132127821692597,1
52,0.21294556567854256,-0.13344646897777632,0.005624417278738853,0.005512498262551668,0.7927114876170771,0.005624417278738853,0.1224923915405397,1
