generation,p1,p2,fitness,best_fitness,cl,cd,t_max,feasible
1,0.19563962502466184,-0.08931052647132674,0.004144758656614869,0.004144758656614869,0.7577187562198245,0.004144758656614869,0.12488121550534152,1
2,0.19563962502466184,-0.08931052647132674,0.004144758656614869,0.004144758656614869,0.7577187562198245,0.004144758656614869,0.12488121550534152,1
3,0.19563962502466184,-0.08931052647132674,0.004144758656614869,0.004144758656614869,0.7577187562198245,0.004144758656614869,0.12488121550534152,1
4,0.19563962502466184,-0.08931052647132674,0.004120416683522234,0.004120416683522234,0.7539092867307313,0.004120416683522234,0.12683245183114017,1
5,0.19563962502466184,-0.08931052647132674,0.004120416683522234,0.004120416683522234,0.7539092867307313,0.004120416683522234,0.12683245183114017,1
6,0.19563962502466184,-0.08931052647132674,0.004115664917346778,0.004115664917346778,0.7536391353930629,0.004115664917346778,0.1262873357339807,1
7,0.17583076439976308,-0.07204378128922313,0.0039495240840394415,0.0039495240840394415,0.7544378604580207,0.0039495240840394415,0.12145136700414584,1
8,0.19115891370013527,-0.06849150271188521,0.0039032679328111614,0.0039032679328111614,0.7618555745533393,0.0039032679328111614,0.12386157555804105,1
9,0.18824687544588065,-0.07132214532716082,0.003828362137506356,0.003828362137506356,0.7490446597514162,0.003828362137506356,0.12211208637944443,1
10,0.18819748606264391,-0.06326469,0.003740979696207097,0.003740979696207097,0.743411872337907,0.003740979696207097,0.1210545159477291,1
11,0.18819748606264391,-0.06326469,0.003740979696207097,0.003740979696207097,0.743411872337907,0.003740979696207097,0.1210545159477291,1
12,0.18245414882063818,-0.06326469,0.0036984933905302247,0.0036984933905302247,0.7398758031270612,0.0036984933905302247,0.1215732852993109,1
13,0.17706795845447007,-0.06331998465394958,0.0036951505947473012,0.0036951505947473012,0.728972727133226,0.0036951505947473012,0.12073335019935982,1
14,0.18645640091664234,-0.06326469,0.0036695564389073875,0.0036695564389073875,0.7339033089681944,0.0036695564389073875,0.12157020592168426,1
15,0.1550254174665352,-0.06326587948381607,0.0036248376632563484,0.0036248376632563484,0.7230683333293408,0.0036248376632563484,0.12349663899439856,1
16,0.161287421249754,-0.06327896031362351,0.0035804332707879407,0.0035804332707879407,0.7209046099304529,0.0035804332707879407,0.1204003089771846,1
17,0.161287421249754,-0.06327896031362351,0.0035804332707879407,0.0035804332707879407,0.7209046099304529,0.0035804332707879407,0.1204003089771846,1
18,0.161287421249754,-0.06327896031362351,0.0035804332707879407,0.0035804332707879407,0.7209046099304529,0.0035804332707879407,0.1204003089771846,1
19,0.161287421249754,-0.06327896031362351,0.0035804332707879407,0.0035804332707879407,0.7209046099304529,0.0035804332707879407,0.1204003089771846,1
20,0.161287421249754,-0.06327896031362351,0.0035804332707879407,0.0035804332707879407,0.7209046099304529,0.0035804332707879407,0.1204003089771846,1
21,0.14703767,-0.06328176626047594,0.0035679907493263814,0.0035679907493263814,0.7216373769888869,0.0035679907493263814,0.12128692865761709,1
22,0.14703767,-0.06326556001582113,0.0035500830882178283,0.0035500830882178283,0.7221496136858118,0.0035500830882178283,0.12033565898196703,1
23,0.16685090748076242,-0.06328082850797578,0.003543924487881757,0.003543924487881757,0.7206252819059181,0.003543924487881757,0.12145976522013804,1
24,0.16685090748076242,-0.06328082850797578,0.003543924487881757,0.003543924487881757,0.7206252819059181,0.003543924487881757,0.12145976522013804,1
25,0.14703767,-0.06327982700325598,0.003527245660785397,0.003527245660785397,0.7284059841486817,0.003527245660785397,0.12123073503962972,1
26,0.14703767,-0.06327982700325598,0.003527245660785397,0.003527245660785397,0.7284059841486817,0.003527245660785397,0.12123073503962972,1
27,0.14703767,-0.06327068059723312,0.0035110987349009663,0.0035110987349009663,0.7211565835247513,0.0035110987349009663,0.12163167552465767,1
28,0.14703767,-0.06327747394530286,0.0035104144497075055,0.0035104144497075055,0.7235293784144903,0.0035104144497075055,0.12104962011310241,1
29,0.14703767,-0.06334344756946497,0.003505688840040084,0.003505688840040084,0.7207882987958688,0.003505688840040084,0.12026305028487072,1
30,0.14703767,-0.06327385597955493,0.00350551800204707,0.00350551800204707,0.721623494258579,0.00350551800204707,0.12133592578585715,1
31,0.14703767,-0.06328302775405366,0.0034975787146149023,0.0034975787146149023,0.7197130509153766,0.0034975787146149023,0.12098464955731458,1
32,0.14703767,-0.06328302775405366,0.0034975787146149023,0.0034975787146149023,0.7197130509153766,0.0034975787146149023,0.12098464955731458,1
33,0.148286377855591,-0.06330644823751373,0.0034970915343446557,0.0034970915343446557,0.7200415852575021,0.0034970915343446557,0.12037665301734223,1
34,0.148286377855591,-0.06330644823751373,0.0034970915343446557,0.0034970915343446557,0.7200415852575021,0.0034970915343446557,0.12037665301734223,1
35,0.14703767,-0.06341328449640385,0.0034917696264141914,0.0034917696264141914,0.7196157660814436,0.0034917696264141914,0.12028958721456164,1
36,0.14703767,-0.06341328449640385,0.0034917696264141914,0.0034917696264141914,0.7196157660814436,0.0034917696264141914,0.12028958721456164,1
37,0.14703767,-0.06341328449640385,0.0034917696264141914,0.0034917696264141914,0.7196157660814436,0.0034917696264141914,0.12028958721456164,1
38,0.14703767,-0.06341328449640385,0.0034917696264141914,0.0034917696264141914,0.7196157660814436,0.0034917696264141914,0.12028958721456164,1
39,0.14703767,-0.06341328449640385,0.0034917696264141914,0.0034917696264141914,0.7196157660814436,0.0034917696264141914,0.12028958721456164,1
40,0.14703767,-0.06341328449640385,0.0034917696264141914,0.0034917696264141914,0.7196157660814436,0.0034917696264141914,0.12028958721456164,1
41,0.14703767,-0.06341328449640385,0.0034917696264141914,0.0034917696264141914,0.7196157660814436,0.0034917696264141914,0.12028958721456164,1
42,0.14703767,-0.06341328449640385,0.0034917696264141914,0.0034917696264141914,0.7196157660814436,0.0034917696264141914,0.12028958721456164,1
43,0.14703767,-0.06341328449640385,0.0034917696264141914,0.0034917696264141914,0.7196157660814436,0.0034917696264141914,0.12028958721456164,1
44,0.14703767,-0.06341328449640385,0.0034916682078996175,0.0034916682078996175,0.7196326841015785,0.0034916682078996175,0.12029311216455318,1
45,0.14703767,-0.06341328449640385,0.003491307002973231,0.003491307002973231,0.7196132066332604,0.003491307002973231,0.12028563238493242,1
46,0.14703767,-0.06341328449640385,0.003491307002973231,0.003491307002973231,0.7196132066332604,0.003491307002973231,0.12028563238493242,1
47,0.14703767,-0.06341328449640385,0.003491307002973231,0.003491307002973231,0.7196132066332604,0.003491307002973231,0.12028563238493242,1
48,0.14742203865964895,-0.06326469,0.003490079132282351,0.003490079132282351,0.7197245041441405,0.003490079132282351,0.1202268054140364,1
49,0.14742203865964895,-0.06326469,0.003490079132282351,0.003490079132282351,0.7197245041441405,0.003490079132282351,0.1202268054140364,1
50,0.14742203865964895,-0.06326469,0.003490079132282351,0.003490079132282351,0.7197245041441405,0.003490079132282351,0.1202268054140364,1
51,0.14742203865964895,-0.06326469,0.003490079132282351,0.003490079132282351,0.7197245041441405,0.003490079132282351,0.1202268054140364,1
52,0.14742203865964895,-0.06326469,0.003490079132282351,0.003490079132282351,0.7197245041441405,0.003490079132282351,0.1202268054140364,1
