algorithm,baseline_cl,baseline_cd,baseline_t_max,opt_cl,opt_cd,opt_t_max
SA,0.7196,0.00564,0.12,0.7233610972760242,0.003386873935043301,0.12231414645876978
GA,0.7196,0.00564,0.12,0.7198220763469557,0.0033688639699458196,0.1217184264056717
PSO,0.7196,0.00564,0.12,0.7195996400696728,0.003368563153718231,0.12189043642863562
