generation,p1,p2,fitness,best_fitness,cl,cd,t_max,feasible
1,0.19563962502466184,-0.08931052647132674,0.003865903989178125,0.003865903989178125,0.7673797247962356,0.003865903989178125,0.12465130825610987,1
2,0.19563962502466184,-0.08931052647132674,0.00383774043982714,0.00383774043982714,0.7663313983972972,0.00383774043982714,0.12572911033298792,1
3,0.19581238217824343,-0.09256768197798819,0.00381976091988364,0.00381976091988364,0.7660756000205469,0.00381976091988364,0.12651601282350552,1
4,0.20350867882031176,-0.08681880447474578,0.0038046629530274793,0.0038046629530274793,0.7579367268020663,0.0038046629530274793,0.12742221178934662,1
5,0.19312284397863833,-0.08466618131221547,0.003731403547288704,0.003731403547288704,0.7772242655641132,0.003731403547288704,0.12428831715976024,1
6,0.19610947839132722,-0.06584855771509485,0.003598674228016796,0.003598674228016796,0.786519909562664,0.003598674228016796,0.12629849802451984,1
7,0.19232222513296948,-0.06332090149098722,0.003515411109725747,0.003515411109725747,0.7592524160378493,0.003515411109725747,0.12492335079584166,1
8,0.19498316187301934,-0.06365101435270096,0.0035147648863412153,0.0035147648863412153,0.7637011394049137,0.0035147648863412153,0.1260962429287303,1
9,0.18352573560202326,-0.06352016193873239,0.0034775510114224404,0.0034775510114224404,0.7416897919341909,0.0034775510114224404,0.1251755742029148,1
10,0.18695116040398652,-0.06477540686585948,0.0034719511868802383,0.0034719511868802383,0.7489763061273622,0.0034719511868802383,0.12592779711117844,1
11,0.18736757710673763,-0.0636459288356724,0.0034705890893710007,0.0034705890893710007,0.7457783362241676,0.0034705890893710007,0.12580522268387748,1
12,0.1889125204048641,-0.06326469,0.0034395133755213796,0.0034395133755213796,0.7275859022187643,0.0034395133755213796,0.12337499443414678,1
13,0.1889125204048641,-0.06326469,0.0034395133755213796,0.0034395133755213796,0.7275859022187643,0.0034395133755213796,0.12337499443414678,1
14,0.18726206273894214,-0.0642669909987138,0.0034319471520926704,0.0034319471520926704,0.720213883185841,0.0034319471520926704,0.12296790345501304,1
15,0.1889125204048641,-0.06326469,0.0034211633463678776,0.0034211633463678776,0.7261062881342105,0.0034211633463678776,0.12441818470840514,1
16,0.1775850479116909,-0.06331515973387196,0.0034162676828430744,0.0034162676828430744,0.7205524024424727,0.0034162676828430744,0.12128601373688237,1
17,0.18613432164841856,-0.06381406392419797,0.0034142619765304342,0.0034142619765304342,0.731610642003333,0.0034142619765304342,0.12505273015316282,1
18,0.18296745682798726,-0.06338667998176181,0.0034035031598400145,0.0034035031598400145,0.7262654169112689,0.0034035031598400145,0.12408769883599559,1
19,0.18382965997693584,-0.06365973010230985,0.0033951536497729613,0.0033951536497729613,0.7227236406191234,0.0033951536497729613,0.12329606345980955,1
20,0.18382965997693584,-0.06365973010230985,0.0033951536497729613,0.0033951536497729613,0.7227236406191234,0.0033951536497729613,0.12329606345980955,1
21,0.18382965997693584,-0.06365973010230985,0.0033951536497729613,0.0033951536497729613,0.7227236406191234,0.0033951536497729613,0.12329606345980955,1
22,0.18354061841141311,-0.06357946935136777,0.003392328549448032,0.003392328549448032,0.720213932713373,0.003392328549448032,0.12352071750490864,1
23,0.18167599980186644,-0.06339682465796055,0.0033906788105870574,0.0033906788105870574,0.7218218921580511,0.0033906788105870574,0.12323346134357323,1
24,0.18167599980186644,-0.06339682465796055,0.0033906788105870574,0.0033906788105870574,0.7218218921580511,0.0033906788105870574,0.12323346134357323,1
25,0.18167599980186644,-0.06339682465796055,0.0033906788105870574,0.0033906788105870574,0.7218218921580511,0.0033906788105870574,0.12323346134357323,1
26,0.18065939418971286,-0.06330632901936638,0.0033861065770525215,0.0033861065770525215,0.7250390553758429,0.0033861065770525215,0.1237081670128326,1
27,0.18065939418971286,-0.06330632901936638,0.0033861065770525215,0.0033861065770525215,0.7250390553758429,0.0033861065770525215,0.1237081670128326,1
28,0.1803144921641423,-0.0632805962080569,0.003373800473240683,0.003373800473240683,0.7205734925846788,0.003373800473240683,0.12157573375046558,1
29,0.1803144921641423,-0.0632805962080569,0.003373800473240683,0.003373800473240683,0.7205734925846788,0.003373800473240683,0.12157573375046558,1
30,0.1803144921641423,-0.0632805962080569,0.003373800473240683,0.003373800473240683,0.7205734925846788,0.003373800473240683,0.12157573375046558,1
31,0.1803144921641423,-0.0632805962080569,0.003373800473240683,0.003373800473240683,0.7205734925846788,0.003373800473240683,0.12157573375046558,1
32,0.1776961298917667,-0.0633390109879346,0.0033733355545833943,0.0033733355545833943,0.7202705176207244,0.0033733355545833943,0.1218092176038826,1
33,0.177434851598905,-0.06332043510407709,0.003372868290755288,0.003372868290755288,0.7203811351925952,0.003372868290755288,0.12174511101526475,1
34,0.177434851598905,-0.06332043510407709,0.003372868290755288,0.003372868290755288,0.7203811351925952,0.003372868290755288,0.12174511101526475,1
35,0.177434851598905,-0.06332043510407709,0.003372868290755288,0.003372868290755288,0.7203811351925952,0.003372868290755288,0.12174511101526475,1
36,0.17799498864062155,-0.06327874714723353,0.003371981087014241,0.003371981087014241,0.7202543960466956,0.003371981087014241,0.12219207076413365,1
37,0.17799498864062155,-0.06327874714723353,0.003371981087014241,0.003371981087014241,0.7202543960466956,0.003371981087014241,0.12219207076413365,1
38,0.17799498864062155,-0.06327874714723353,0.003371981087014241,0.003371981087014241,0.7202543960466956,0.003371981087014241,0.12219207076413365,1
39,0.17799498864062155,-0.06327874714723353,0.003371981087014241,0.003371981087014241,0.7202543960466956,0.003371981087014241,0.12219207076413365,1
40,0.17799498864062155,-0.06327874714723353,0.003371981087014241,0.003371981087014241,0.7202543960466956,0.003371981087014241,0.12219207076413365,1
41,0.17871082493009205,-0.06328806269867811,0.003370810728574193,0.003370810728574193,0.7199067686589915,0.003370810728574193,0.12254209753751394,1
42,0.17871082493009205,-0.06328806269867811,0.003370810728574193,0.003370810728574193,0.7199067686589915,0.003370810728574193,0.12254209753751394,1
43,0.17830272677529685,-0.06327448251741365,0.003370482282007461,0.003370482282007461,0.7197245604315389,0.003370482282007461,0.122232182610602,1
44,0.17830272677529685,-0.06327448251741365,0.003370482282007461,0.003370482282007461,0.7197245604315389,0.003370482282007461,0.122232182610602,1
45,0.17830272677529685,-0.06327448251741365,0.003370482282007461,0.003370482282007461,0.7197245604315389,0.003370482282007461,0.122232182610602,1
46,0.17830272677529685,-0.06327448251741365,0.003370482282007461,0.003370482282007461,0.7197245604315389,0.003370482282007461,0.122232182610602,1
47,0.17830272677529685,-0.06327448251741365,0.003370482282007461,0.003370482282007461,0.7197245604315389,0.003370482282007461,0.122232182610602,1
48,0.17830272677529685,-0.06327448251741365,0.003370482282007461,0.003370482282007461,0.7197245604315389,0.003370482282007461,0.122232182610602,1
49,0.17830272677529685,-0.06327448251741365,0.003370482282007461,0.003370482282007461,0.7197245604315389,0.003370482282007461,0.122232182610602,1
50,0.17830272677529685,-0.06327448251741365,0.003370482282007461,0.003370482282007461,0.7197245604315389,0.003370482282007461,0.122232182610602,1
51,0.17789319228543726,-0.0632713845708622,0.0033700521249542146,0.0033700521249542146,0.7197713038541407,0.0033700521249542146,0.12222473594022466,1
52,0.17789319228543726,-0.0632713845708622,0.0033700521249542146,0.0033700521249542146,0.7197713038541407,0.0033700521249542146,0.12222473594022466,1
53,0.17789319228543726,-0.0632713845708622,0.0033700521249542146,0.0033700521249542146,0.7197713038541407,0.0033700521249542146,0.12222473594022466,1
54,0.17789319228543726,-0.0632713845708622,0.0033700521249542146,0.0033700521249542146,0.7197713038541407,0.0033700521249542146,0.12222473594022466,1
55,0.17789319228543726,-0.0632713845708622,0.0033700521249542146,0.0033700521249542146,0.7197713038541407,0.0033700521249542146,0.12222473594022466,1
56,0.17789319228543726,-0.0632713845708622,0.0033700521249542146,0.0033700521249542146,0.7197713038541407,0.0033700521249542146,0.12222473594022466,1
57,0.17789319228543726,-0.0632713845708622,0.0033700521249542146,0.0033700521249542146,0.7197713038541407,0.0033700521249542146,0.12222473594022466,1
58,0.17789319228543726,-0.0632713845708622,0.0033700521249542146,0.0033700521249542146,0.7197713038541407,0.0033700521249542146,0.12222473594022466,1
59,0.17789319228543726,-0.0632713845708622,0.0033700521249542146,0.0033700521249542146,0.7197713038541407,0.0033700521249542146,0.12222473594022466,1
60,0.17790480602606137,-0.0632706188789475,0.003369924423487383,0.003369924423487383,0.7201694051543717,0.003369924423487383,0.12173115764861042,1
61,0.17790480602606137,-0.0632706188789475,0.003369924423487383,0.003369924423487383,0.7201694051543717,0.003369924423487383,0.12173115764861042,1
62,0.17790480602606137,-0.0632706188789475,0.003369924423487383,0.003369924423487383,0.7201694051543717,0.003369924423487383,0.12173115764861042,1
63,0.17790480602606137,-0.0632706188789475,0.003369924423487383,0.003369924423487383,0.7201694051543717,0.003369924423487383,0.12173115764861042,1
64,0.17790480602606137,-0.0632706188789475,0.003369924423487383,0.003369924423487383,0.7201694051543717,0.003369924423487383,0.12173115764861042,1
65,0.17790480602606137,-0.0632706188789475,0.003369924423487383,0.003369924423487383,0.7201694051543717,0.003369924423487383,0.12173115764861042,1
66,0.17790480602606137,-0.0632706188789475,0.003369924423487383,0.003369924423487383,0.7201694051543717,0.003369924423487383,0.12173115764861042,1
67,0.17790480602606137,-0.0632706188789475,0.003369924423487383,0.003369924423487383,0.7201694051543717,0.003369924423487383,0.12173115764861042,1
68,0.17790480602606137,-0.0632706188789475,0.003369924423487383,0.003369924423487383,0.7201694051543717,0.003369924423487383,0.12173115764861042,1
69,0.17790480602606137,-0.0632706188789475,0.003369924423487383,0.003369924423487383,0.7201694051543717,0.003369924423487383,0.12173115764861042,1
70,0.1778726807701675,-0.06326843985243125,0.003369644570450176,0.003369644570450176,0.7197082116083556,0.003369644570450176,0.12255394847550853,1
71,0.17788433060876996,-0.063269850226519,0.003369182249568632,0.003369182249568632,0.7199854048289703,0.003369182249568632,0.12215570354123353,1
72,0.17788433060876996,-0.063269850226519,0.003369182249568632,0.003369182249568632,0.7199854048289703,0.003369182249568632,0.12215570354123353,1
73,0.17788433060876996,-0.063269850226519,0.003369182249568632,0.003369182249568632,0.7199854048289703,0.003369182249568632,0.12215570354123353,1
74,0.1770469639120684,-0.06327497916911264,0.0033689297674978887,0.0033689297674978887,0.7198207960173632,0.0033689297674978887,0.12171851193518192,1
75,0.1770469639120684,-0.06327497916911264,0.0033689297674978887,0.0033689297674978887,0.7198207960173632,0.0033689297674978887,0.12171851193518192,1
