algorithm,baseline_cl,baseline_cd,baseline_t_max,opt_cl,opt_cd,opt_t_max
SA,0.7196,0.00564,0.12,0.7333374241612295,0.0032888364804685797,0.12706369101859868
GA,0.7196,0.00564,0.12,0.7196347845594033,0.00348287807127013,0.12006803121651452
PSO,0.7196,0.00564,0.12,0.7196127282411623,0.003459658782314189,0.12000298578678771
