type,algorithm,excel_cl,excel_cd,excel_t_max,xfoil_cl,xfoil_cd,xfoil_t_max,cl_error,cd_error,t_max_error,cl_error_pct,cd_error_pct,t_max_error_pct
baseline,baseline,0.7196,0.00564,0.12,0.7213,0.0057,0.12034011739566866,0.0017000000000000348,6.000000000000016e-05,0.0003401173956686654,0.2362423568649298,1.0638297872340452,0.28343116305722116
optimized,SA,0.7233610972760242,0.003386873935043301,0.1223141464587698,0.7256,0.00386,0.11925174123224902,0.0022389027239758663,0.00047312606495669924,-0.0030624052265207785,0.30951384203642535,13.969402878015606,-2.5037212090206324
optimized,GA,0.7198220763469557,0.00336886396994582,0.1217184264056717,0.7229,0.00384,0.11896432654402839,0.0030779236530442677,0.0004711360300541801,-0.0027540998616433082,0.42759506191648144,13.985011987936016,-2.2626811264091202
optimized,PSO,0.7195996400696728,0.003368563153718231,0.1218904364286356,0.7231,0.00378,0.11898197488811386,0.003500359930327157,0.0004114368462817689,-0.0029084615405217396,0.4864315843721443,12.21401611032952,-2.3861277600926347
